timestamps,TP9,AF7,AF8,TP10,Right AUX
1605307746.362,-126.953,-33.691,-20.508,-44.434,0.000
1605307746.366,-77.637,12.695,10.742,-8.789,0.000
1605307746.370,34.180,2.930,2.441,14.648,0.000
1605307746.373,96.680,-15.625,-22.461,22.461,0.000
1605307746.377,2.930,-28.320,-52.246,-15.625,0.000
1605307746.381,-129.395,-77.148,-40.039,-63.965,0.000
1605307746.385,-119.141,-72.754,-18.066,-58.594,0.000
1605307746.389,20.996,-37.598,-4.395,6.348,0.000
1605307746.393,90.820,6.836,-11.719,27.832,0.000
1605307746.397,20.020,-20.020,-20.508,-15.137,0.000
1605307746.401,-112.793,-65.918,-19.043,-56.641,0.000
1605307746.405,-133.789,-85.938,-20.996,-61.523,0.000
1605307746.409,20.508,-26.855,2.930,-6.348,0.000
1605307746.413,141.602,2.441,-6.836,48.828,0.000
1605307746.416,61.035,-25.879,-20.020,11.230,0.000
1605307746.420,-50.293,-21.484,22.461,-13.184,0.000
1605307746.424,-109.863,-48.828,-16.113,-39.551,0.000
1605307746.428,-15.137,-33.203,-24.902,-10.742,0.000
1605307746.432,113.281,-1.953,-10.742,39.062,0.000
1605307746.436,42.480,-24.902,-24.902,0.977,0.000
1605307746.440,-103.027,-44.922,-43.457,-61.523,0.000
1605307746.444,-142.090,-25.391,-39.062,-71.777,0.000
1605307746.448,-20.508,-9.766,-10.742,-12.695,0.000
1605307746.452,88.379,-4.395,-10.254,24.902,0.000
1605307746.455,90.332,34.180,27.832,49.805,0.000
1605307746.459,-42.480,7.812,14.648,-7.324,0.000
1605307746.463,-158.691,-73.242,-48.828,-72.266,0.000
1605307746.467,-58.594,-52.734,-40.039,-22.461,0.000
1605307746.471,87.891,-3.418,-16.113,23.438,0.000
1605307746.475,86.914,-16.113,-28.809,10.742,0.000
1605307746.479,-74.707,-44.434,-50.781,-52.734,0.000
1605307746.483,-159.668,-81.055,-39.551,-73.242,0.000
1605307746.487,-51.270,-30.762,-15.625,-20.996,0.000
1605307746.491,86.914,54.688,6.348,35.156,0.000
1605307746.495,98.633,13.184,-1.465,25.391,0.000
1605307746.498,-50.293,-35.156,-38.086,-48.828,0.000
1605307746.502,-166.504,-55.664,-36.133,-83.496,0.000
1605307746.506,-92.773,-48.828,-28.809,-52.734,0.000
1605307746.510,101.074,-4.395,-19.043,40.527,0.000
1605307746.514,165.527,62.500,31.250,89.844,0.000
1605307746.518,-8.301,-11.719,-2.930,-29.785,0.000
1605307746.522,-146.484,-78.125,-32.715,-85.449,0.000
1605307746.526,-102.539,-49.805,-19.531,-43.457,0.000
1605307746.530,76.660,-22.461,-16.113,40.039,0.000
1605307746.534,140.137,-0.977,-20.508,49.805,0.000
1605307746.538,-12.207,-29.297,-41.992,-30.273,0.000
1605307746.541,-167.969,-62.500,-37.109,-89.844,0.000
1605307746.545,-140.625,-25.879,-31.738,-78.613,0.000
1605307746.549,132.812,90.820,71.289,118.652,0.000
1605307746.553,220.215,79.590,79.590,155.762,0.000
1605307746.557,-24.902,-38.574,-49.805,-29.297,0.000
1605307746.561,-163.574,-91.797,-58.105,-109.863,0.000
1605307746.565,-126.465,-54.199,-32.715,-83.008,0.000
1605307746.569,39.062,24.414,-6.836,-2.441,0.000
1605307746.573,119.629,4.395,-20.996,19.043,0.000
1605307746.577,0.977,-31.250,-42.969,-38.574,0.000
1605307746.580,-159.668,-54.199,-69.824,-101.074,0.000
1605307746.584,-137.695,-30.762,-40.527,-77.637,0.000
1605307746.588,64.941,22.949,32.227,17.090,0.000
